corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
jpeg_compression,1,per_batch,10000,0.878,0.918,0.803,0.719,0.876,0.733,0.962,0.845,0.943,0.932
jpeg_compression,1,per_image,1000,0.89,0.9,0.82,0.62,0.82,0.75,0.96,0.85,0.99,0.94
jpeg_compression,2,baseline,10000,0.842,0.883,0.761,0.718,0.824,0.688,0.921,0.8,0.922,0.916
jpeg_compression,2,per_batch,10000,0.842,0.885,0.76,0.717,0.831,0.691,0.922,0.799,0.924,0.917
jpeg_compression,2,per_image,1000,0.85,0.86,0.73,0.71,0.81,0.74,0.9,0.85,0.92,0.91
jpeg_compression,3,baseline,10000,0.839,0.862,0.746,0.727,0.806,0.658,0.903,0.781,0.919,0.907
jpeg_compression,3,per_batch,10000,0.837,0.867,0.742,0.726,0.807,0.661,0.905,0.781,0.919,0.903
jpeg_compression,3,per_image,1000,0.8,0.86,0.7,0.68,0.77,0.65,0.9,0.87,0.91,0.85
jpeg_compression,4,baseline,10000,0.816,0.856,0.742,0.745,0.79,0.64,0.873,0.765,0.905,0.888
jpeg_compression,4,per_batch,10000,0.817,0.859,0.741,0.746,0.791,0.644,0.879,0.767,0.904,0.89
jpeg_compression,4,per_image,1000,0.8,0.87,0.77,0.73,0.84,0.65,0.85,0.76,0.9,0.91
jpeg_compression,5,baseline,10000,0.805,0.822,0.735,0.747,0.725,0.598,0.828,0.714,0.891,0.847
jpeg_compression,5,per_batch,10000,0.806,0.83,0.734,0.737,0.736,0.601,0.847,0.728,0.894,0.85
jpeg_compression,5,per_image,1000,0.82,0.77,0.77,0.69,0.8,0.65,0.84,0.68,0.91,0.83
